0,1,2,3,4,5,6,7,8
GBP,,,,,,,,
GBP,,,,,,,,
S/N,DESCRIPTION,NUMBER,,AMOUNT CLAIMED (GBP),,AMOUNT REFUNDED (GBP),,
,,Jun-25,Dec-24,Jun-25,Dec-24,Jun-25,Dec-24,
1,Pending complaints B/F,-,2,-,-,-,-,
2,Received Complaints,117,257,"8,576,534","5 6,973,907",-,-,
3,Resolved complaints,116,259,"8,576,534","5 6,973,907",-,-,
4,"Unresolved Complaints
escalated to CBN for
intervention",-,-,-,-,-,-,
5,"Unresolved complaints
pending with the bank C/F",1,-,-,-,-,-,
EUR,,,,,,,,
EUR,,,,,,,,
S/N,DESCRIPTION,NUMBER,,AMOUNT CLAIMED (EUR),,AMOUNT REFUNDED (EUR),,
,,Jun-25,Dec-24,Jun-25,Dec-24,Jun-25,Dec-24,
1,Pending complaints B/F,-,0,-,-,-,-,
2,Received Complaints,196,401,"1 ,631,119","2 68,583,254",-,-,
3,Resolved complaints,194,401,"1 ,631,099","2 68,583,254",-,-,
4,"Unresolved Complaints
escalated to CBN for
intervention",0,-,-,-,-,-,
5,"Unresolved complaints
pending with the bank C/F",2,-,20,-,-,-,
"Solicited Customer Feedback
Deliberate efforts are made to solicit feedback from customers and staff on the services and produ
- Questionnaires
- Customer interviews
- Customers forum
- Quest for Excellence Sessions (for staff)
- Voice of Customer Surveys
The various feedback efforts are coordinated by our Service and innovation Group
The feedback obtained from customers are reviewed and lessons learnt are used for staff training",,,,,,,,
