0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,Parent,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,In thousands of Nigerian Naira,,,Dec-23,,,Dec-23,,,Dec-22,,,Dec-22,
,,,,Pre-tax,,,Post-tax,,,,,,,
,Decrease,,,,,,,,,,,,,
,Assets,,,,,,,,,,,,,
,Cash and bank balances,,,"(8,568,308)",,,"(6,822,087)",,,"(3,649,068)",,,"(2,905,388)",
,Loans and advances to Banks,,,"(1,610,844)",,,"(1,282,554)",,,"(1,244,986)",,,"(991,258)",
,Loans and advances to Customers,,,"(18,516,829)",,,"(14,743,100)",,,"(15,344,373)",,,"(12,217,190)",
,Financial assets held for trading,,,"(1,024,539)",,,"(815,738)",,,"(2,233,721)",,,"(1,778,489)",
,Investment securities,,,"(9,246,665)",,,"(7,362,195)",,,"(6,814,558)",,,"(5,425,751)",
,Assets pledged as collateral,,,"(725,292)",,,"(577,477)",,,"(748,675)",,,"(596,095)",
,,,,"(39,692,477)",,,"(31,603,150)",,,"(30,035,381)",,,"(23,914,170)",
,Liabilities,,,,,,,,,,,,,
,Deposits from banks,,,"1,828",,,"1,455",,,"2,769",,,"2,205",
,Deposits from customers,,,"10,202,307",,,"8,123,077",,,"9,844,786",,,"7,838,418",
,Financial liabilities held for trading,,,"112,822",,,"89,829",,,"41,718",,,"33,216",
,Other borrowed funds,,,"1,051,402",,,"837,126",,,"1,264,447",,,"1,006,753",
,,,,"11,368,358",,,"9,051,487",,,"11,153,720",,,"8,880,591",
,Total,,,"(28,324,119)",,,"(22,551,664)",,,"(18,881,661)",,,"(15,033,579)",
,,,,,,,,,,,,,,
,Increase,,,,,,,,,,,,,
,Assets,,,,,,,,,,,,,
,Cash and bank balances,,,"8,568,308",,,"6,822,087",,,"3,649,068",,,"2,905,388",
,Loans and advances to Banks,,,"1,610,844",,,"1,282,554",,,"1,244,986",,,"991,258",
,Loans and advances to Customers,,,"18,516,829",,,"14,743,100",,,"15,344,373",,,"12,217,190",
,Financial assets held for trading,,,"1,024,539",,,"815,738",,,"2,233,721",,,"1,778,489",
,Investment securities,,,"9,246,665",,,"7,362,195",,,"6,814,558",,,"5,425,751",
,Assets pledged as collateral,,,"725,292",,,"577,477",,,"748,675",,,"596,095",
,,,,"39,692,477",,,"31,603,150",,,"30,035,381",,,"23,914,170",
,Liabilities,,,,,,,,,,,,,
,Deposits from banks,,,"(1,828)",,,"(1,455)",,,"(2,769)",,,"(2,205)",
,Deposits from customers,,,"(10,202,307)",,,"(8,123,077)",,,"(9,844,786)",,,"(7,838,418)",
,Financial liabilities held for trading,,,"(112,822)",,,"(89,829)",,,"(41,718)",,,"(33,216)",
,Other borrowed funds,,,"(1,051,402)",,,"(837,126)",,,"(1,264,447)",,,"(1,006,753)",
,,,,"(11,368,358)",,,"(9,051,487)",,,"(11,153,720)",,,"(8,880,591)",
,Total,,,"28,324,119",,,"22,551,664",,,"18,881,661",,,"15,033,579",
