0,1,2,3,4,5,6,7
,Notes,"Group Account
Unaudited
2025
Q1 (Jan-March)","Group Account
Unaudited
2024
Q1 (Jan-March)","Group Account
Audited
2024","Company Unaudited
2025
Q1 (Jan-March)","Company Unaudited
2024
Q1 (Jan-March)",Company Audited 2024
,,N' 000,N' 000,N' 000,N' 000,N' 000,N' 000
Revenue,1,"3,870,452","3,470,921","14,841,373",-,-,
Cost of Sales,2,"(3,094,909)","(2,494,056)","(10,483,486)",-,-,
Gross Profit,,"775,543","976,865","4,357,887",-,-,-
Other operating Income,3,"150,345","23,873","23,961","227,831","72,232","769,441"
Administrative Expenses,4,"(542,453)","(593,753)","(3,210,159)","(110,159)","(200,821)","(634,447)"
Operating Profit/( Loss),,"383,435","406,985","1,171,689","117,672","(128,589)","134,994"
Finance expense,5,"(201,887)","(20,519)","(363,444)","(112,017)","(18,799)","(114,687)"
Finance Income,,,"10,107","48,489",,,"4,921"
(Loss)/Profit before Taxation,,"181,548","396,573","856,734","5,655","(147,388)","25,228"
Taxation expense (Provision),,"(32,678)","(250,001)","(465,679)","(1,244)",,"(7,694)"
Profit/(Loss) after Taxation,,"148,870","146,572","391,055","4,411","(147,388)","17,534"
(Loss)/Profit attributable to :,,,,,,,
Owners of the parent,,"63,452","91,608","408,997",,,
Non-Controlling interests,,"85,418","54,965","(17,943)",,,
,,"148,870","146,572","391,054",,,"17,534"
Basic (Loss) / earnings per share (kobo),,3.00,8.10,8.71,0.04,(1.62),0.37
Diluted (Loss)/ earnings per share (Kobo),,3.00,8.10,8.71,0.04,(1.62),0.37
Other Comprehensive Income/ Loss,,,,,,,
"Gain/Loss on investment securities at fair value
through other comprehensive income",,,,156,,,"15,546"
"Other comprehensive income/(loss) (net of
tax)",,,,156,,,"15,546"
Disposal,,,,,,,
Profit on disposal of asset,,,,,,,
Total Comprehensive Income,,"148,870","146,572","391,210","4,411","(147,388)","33,080"
Profit/Loss for the period attributable to :,,,,,,,
Owners of the company,,,,"408,997","4,411","(147,388)","15,546"
Non controlling interest,,"148,870","146,572","(17,943)",-,-,
,,,-,,,,
Income after taxation,,"148,870","146,572",156,"4,411","( 147,388)","15,546"
Total comprehensive income attributable to:,,,,,,,
Owners of Parent,,"63,452","91,608","409,130","4,411","( 147,388)",
Non controlling interest,,"85,418","54,965","(17,920)",-,-,-
,,"148,870","146,573","391,210","4,411","( 147,388)","33,080"
