0,1,2,3,4
DESCRIPTION,30-Sep-24,,30-Sep-25,
,UNIT,PERCENTAGE,UNIT,PERCENTAGE
ISSUED SHARE CAPITAL,"498,150,077",100.0%,"498,150,077",100.0%
SUBSTANTIAL SHAREHOLDINGS (5% AND ABOVE),,,,
MWML NOMINEES LTD,"1 33,358,476",26.8%,"1 33,358,476",26.8%
SAHAM UNITRUST INSURANCE NIGERIA LTD,"1 06,250,000",21.3%,"1 06,250,000",21.3%
ADEBAYO THOMAS BANDELE (OTUNBA),"3 7,453,210",7.5%,"3 7,453,210",7.5%
,,,,
TOTAL SUBSTANTIAL SHAREHOLDINGS,"277,061,686",55.6%,"2 77,061,686",55.6%
,,,,
DIRECTOR'S SHAREHOLDINGS (DIRECT AND INDIRECT) EXCLUDING DIRECTORS WITH SUBSTANTIAL INTERESTS,,,,
KAYODE AJAKAIYE - (DIRECT),"2,390,657",0.5%,"2,390,657",0.5%
"SULAIMAN A. ADEDOKUN - (INDIRECT REPRESENTING
MWML NOMINEES LTD)",-,0.0%,-,0.0%
"ADEBAYO ADELEKE - (INDIRECT REPRESENTING
SAHAM UNITRUST INSURANCE NIG. LTD)",-,0.0%,-,0.0%
"DANIELLA F. SULEIMAN - (INDIRECT REPRESENTING
AIR. CMDR. DAN SULEIMAN RTD)","19,542,743",3.9%,"1 9,542,743",3.9%
ADEBAYO ADELEKE - (DIRECT),"726,644",0.1%,"7 26,644",0.1%
,,,,
TOTAL DIRECTOR'S SHAREHOLDINGS,"2 2,660,044",4.5%,"22,660,044",4.5%
,,,,
OTHER INFLUENTIAL SHAREHOLDINGS,,,,
PLATFORM NIGERIA LIMITED.,"21,661,750",4.3%,"21,661,750",4.3%
OLADIRAN FAWIBE - (DIRECT),"20,886,092",4.2%,"20,886,092",4.2%
THE ESTATE OF ASALU AKINTUNDE,"11,910,215",2.4%,"11,910,215",2.4%
NWOBI ERIC N,"12,015,571",2.4%,"1 2,015,571",2.4%
QSTC SERVICES LIMITED,"10,079,631",2.0%,"1 0,079,631",2.0%
OKOLI OBINANI OGBONNIA,"7,884,496",1.6%,"7,884,496",1.6%
AREGBEYEN JOHN BABATUNDE OTUAKHENA,"7,769,547",1.6%,"7,769,547",1.6%
,,,,
TOTAL OTHER INFLUENTIAL SHAREHOLDINGS,"92,207,302",18.5%,"92,207,302",18.5%
,,,,
FREE FLOAT UNITS AND PERCENTAGE,"1 06,221,045",21.3%,"106,221,045",21.3%
FREE FLOAT IN VALUE,"1 30,651,885",,"111,532,097",
