0,1,2
Description,30 June 2025,
,Unit,Percentage
Issued Share Capital,"2,190,382,819",100%
Substantial Shareholdings (5% and above),,
NSEVEN Nigeria Limited- MAIN,"1,552,042,799",70.86%
Stanbic IBTC Nominees Nigeria LTD/C026-MAIN,"139,370,907",6.36%
Total Substantial Shareholdings,"1,691,413,706",77.22%
"Directors' Shareholdings (direct and indirect), excluding directors with substantial interests",,
Bola Adesola (direct),"1,250",0.00%
Total Directors' Shareholdings,"1,250",0.00%
Other Influential Shareholdings,,
,,
Total Other Influential Shareholdings,0.00%,0.00%
Free Float in Units and Percentage,"498,967,863",22.78%
Free Float in Value,"₦ 39,917,429,040.00",
