0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,Parent,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,In thousands of Nigerian Naira,,,Dec-24,,,Dec-24,,,Dec-23,,,Dec-23,
,,,,Pre-tax,,,Post-tax,,,,,,,
,Decrease,,,,,,,,,,,,,
,Assets,,,,,,,,,,,,,
,Cash and bank balances,,,"(23,052,108)",,,"(21,438,460)",,,"(8,568,308)",,,"(6,822,087)",
,Loans and advances to Banks,,,"(1,443)",,,"(1,342)",,,"(1,610,844)",,,"(1,282,554)",
,Loans and advances to Customers,,,"(31,431,658)",,,"(29,231,442)",,,"(18,516,829)",,,"(14,743,100)",
,Financial assets held for trading,,,"(305,363)",,,"(283,988)",,,"(1,024,539)",,,"(815,738)",
,Investment securities,,,"(18,425,829)",,,"(17,136,021)",,,"(9,246,665)",,,"(7,362,195)",
,Assets pledged as collateral,,,"(811,222)",,,"(754,437)",,,"(725,292)",,,"(577,477)",
,,,,"(74,027,623)",,,"(68,845,689)",,,"(39,692,477)",,,"(31,603,150)",
,Liabilities,,,,,,,,,,,,,
,Deposits from banks,,,"6,456",,,"6,004",,,"1,828",,,"1,455",
,Deposits from customers,,,"13,042,239",,,"12,129,282",,,"10,202,307",,,"8,123,077",
,Financial liabilities held for trading,,,"63,250",,,"58,823",,,"112,822",,,"89,829",
,Other borrowed funds,,,"3,102,713",,,"2,885,523",,,"1,051,402",,,"837,126",
,,,,"16,214,658",,,"15,079,632",,,"11,368,358",,,"9,051,487",1
,Total,,,"(57,812,965)",,,"(53,766,057)",,,"(28,324,119)",,,"(22,551,664)",
