0,1,2
1,Support for Candlelight Foundation for Children with Special Needs,"300,000"
2,2024 Annual DSR Charity Day,"1,500,000"
3,Financial Support 2024 AIESEC National Conference,"500,000"
4,2024 Children’s Day celebration,"1,145,600"
5,Sponsorship of 2024 Nasarawa State Investment Summit,"40,000,000"
6,2024 World Food Day,"492,000"
7,Sponsorship of Photojournalist Association of Nigeria Congress/ End of Year Symposium,"400,000"
8,CAIM Help Foundation No Child should go Hungry in Africa Conference,"200,000"
9,Nasarawa Sugar Host Communities Scholarship Scheme,"8,252,000"
10,Medical Bill support for NSCL Tunga key stakeholder,"1,044,475"
11,Nasarawa Sugar Stakeholders Engagement Activities,"145,300"
12,DSR Numan Operations 2023/24 Annual Outgrowers Awards,"3,322,500"
13,"PMS support to Fadama Police Station, Numan","30,000"
14,Support to victims of DSR host Community Crisis,"1,000,000"
15,Ramadan Basket for DSR Numan Key Stakeholders & Community members,"2,000,000"
16,Ramadan Basket for Nasarawa Sugar Key Stakeholders and Community members,"1,000,000"
17,Sponsorship of Eight (8) DSR Numan Operations host communities Traditional Festivals,"5,900,000"
18,2024 DSR Numan Annual Schools Quiz Competition,"1,758,750"
19,DSR Numan Operations Female Farmers Empowerment,"3,004,000"
20,DSR Numan Operations Stakeholders Engagement Meetings,"7,625,000"
21,DSR Numan Schools 2024 Graduation Ceremony,"1,454,000"
22,"DSR Numan Operations Nursery, Primary & Secondary Schools Free Education Scheme","6,587,000"
23,DSR Numan Scholarship Scheme for Secondary Students across the five Local Government Areas,"1,600,000"
24,"Donation of Drugs & Medical Equipment to Gundo, and Kwapukai communities Primary Health Centres.","7,690,060"
,TOTAL,"96,950,685"
