0,1,2,3,4,5,6,7,8
,SECTOR,,,BENEFICIARY/PROJECT,,,AMOUNT (₦),
"Community
Development",,,Isolation Center Support,,,"13,702,000",,
,,,Massey Street Hospital Yuletide Visit for Children,,,"2,000,000",,
,,,"Provision of Basic Healthcare for underprivileged children in
partnership with SRC",,,"13,687,743",,
,,,Support for Economic Summit,,,"1,000,000",,
,,,Support for Healthcare for maternal and child mortality in Togo,,,"29,275,614",,
,,,Support for people living with Autism,,,"117,210,196",,
,,,"Support for the Blossom Initiative that caters to young girls from less
privileged backgrounds with a primary objective of empowering the
Girl Child with collaborative, STEM, and entrepreneurial skills.",,,"2,000,000",,
,,,,Support for the enablement of access to quality healthcare to nursing,,"500,000",,
,,,,"mothers and their babies, orphans, and vulnerable children, and",,,,
,,,,introducing capacity building opportunities to young people across,,,,
,,,,Africa.,,,,
,,,Support for YouRead Library - Yaba,,,"40,000",,
,,,Support for Cardiovascular Health,,,"200,000",,
Education,,,"Support for education for the less privilege through the Lebanese
Ladies Society",,,"4,000,000",,
,,,Financial Literacy Training,,,"23,090,514",,
,,,Financial Literacy Training for Schools,,,"986,000",,
,,,Support for ACCOBIN Meeting,,,"4,027,900",,
,,,Support for Annual Bankers' Conference,,,"10,000,000",,
,,,Support for Children with special needs,,,"300,000",,
,,,Support for CIBN Investure Conference,,,"2,000,000",,
,,,Support for extracurricular activities,,,"3,700,000",,
,,,Support for Healthcare Education and awareness,,,"300,000",,
,,,Support for ICSAN Annual Conference,,,"1,500,000",,
,,,Support for Nigeria Electronic Fraud Forum,,,"5,090,648",,
,,,Support for School Extra-curricular Activities,,,"6,150,000",,
,,,Support for YouRead Library initiative,,,"2,392,588",,
Others,,,Support for Annual Banking and Finance Conference.,,,"25,000,000",,
,,,Support for CIBN Investure Conference,,,"75,885",,
,,,Support for Healthcare for maternal and child mortality in Togo,,,"103,906,507",,
